,birthday,wanted_annualpay,annualpay
978,35.0,750.0,450.0
979,45.0,750.0,850.0
980,32.0,750.0,450.0
981,49.0,750.0,850.0
982,40.0,750.0,800.0
983,24.0,750.0,450.0
984,23.0,800.0,850.0
985,40.0,800.0,200.0
986,44.0,800.0,800.0
987,47.0,850.0,950.0
988,37.0,850.0,800.0
989,34.0,850.0,450.0
990,20.0,900.0,200.0
991,49.0,950.0,850.0
992,32.0,950.0,900.0
993,45.0,950.0,450.0
994,46.0,950.0,850.0
995,43.0,950.0,950.0
996,30.0,950.0,450.0
997,35.0,2000.0,2000.0
998,49.0,2000.0,2000.0
999,33.0,2000.0,2000.0
