,birthday,wanted_annualpay,annualpay
227,21.0,300.0,250.0
228,29.0,300.0,300.0
229,38.0,300.0,250.0
230,27.0,300.0,200.0
231,44.0,300.0,300.0
232,30.0,300.0,300.0
233,24.0,300.0,300.0
234,21.0,300.0,200.0
235,33.0,300.0,300.0
236,26.0,300.0,250.0
237,42.0,300.0,200.0
238,28.0,300.0,200.0
239,21.0,300.0,300.0
240,41.0,300.0,200.0
241,27.0,300.0,200.0
242,45.0,300.0,200.0
243,27.0,300.0,200.0
244,38.0,300.0,300.0
245,52.0,300.0,200.0
246,38.0,300.0,200.0
247,23.0,300.0,300.0
248,39.0,300.0,200.0
249,36.0,300.0,300.0
250,49.0,300.0,200.0
251,26.0,300.0,300.0
252,23.0,300.0,250.0
253,25.0,300.0,300.0
254,24.0,300.0,200.0
255,45.0,300.0,200.0
256,25.0,300.0,200.0
257,49.0,300.0,200.0
258,39.0,300.0,200.0
259,49.0,300.0,300.0
260,44.0,300.0,200.0
261,33.0,300.0,200.0
262,31.0,300.0,200.0
263,49.0,300.0,200.0
264,29.0,300.0,200.0
265,24.0,300.0,200.0
266,28.0,300.0,200.0
267,23.0,300.0,250.0
268,48.0,300.0,200.0
269,31.0,300.0,200.0
270,37.0,300.0,250.0
271,23.0,300.0,200.0
272,28.0,300.0,200.0
273,35.0,300.0,250.0
274,27.0,300.0,200.0
275,44.0,300.0,200.0
276,23.0,300.0,300.0
277,40.0,300.0,300.0
278,43.0,300.0,200.0
279,55.0,300.0,200.0
280,47.0,300.0,300.0
281,26.0,300.0,250.0
282,22.0,300.0,200.0
283,43.0,300.0,300.0
284,28.0,300.0,300.0
285,29.0,300.0,200.0
286,20.0,300.0,200.0
287,40.0,300.0,200.0
288,28.0,300.0,250.0
289,23.0,300.0,250.0
290,21.0,300.0,200.0
291,36.0,300.0,200.0
292,36.0,300.0,200.0
293,27.0,300.0,300.0
294,41.0,350.0,300.0
295,43.0,350.0,350.0
296,29.0,350.0,300.0
297,37.0,350.0,350.0
298,27.0,350.0,300.0
299,41.0,350.0,300.0
300,34.0,350.0,350.0
301,23.0,350.0,300.0
302,41.0,350.0,250.0
303,49.0,350.0,350.0
304,40.0,350.0,300.0
305,44.0,350.0,350.0
306,33.0,350.0,300.0
307,30.0,350.0,350.0
308,43.0,350.0,350.0
309,26.0,350.0,350.0
310,30.0,350.0,300.0
311,47.0,350.0,350.0
312,20.0,350.0,350.0
313,40.0,350.0,250.0
314,35.0,350.0,250.0
315,37.0,350.0,250.0
316,43.0,350.0,350.0
317,46.0,350.0,300.0
318,31.0,350.0,350.0
319,37.0,350.0,250.0
320,34.0,350.0,350.0
321,23.0,350.0,300.0
322,25.0,350.0,350.0
323,28.0,350.0,300.0
324,47.0,350.0,300.0
325,30.0,350.0,350.0
326,46.0,350.0,350.0
327,29.0,350.0,350.0
328,25.0,350.0,350.0
329,36.0,350.0,300.0
330,27.0,350.0,300.0
331,22.0,350.0,350.0
332,27.0,350.0,300.0
333,36.0,350.0,300.0
334,28.0,350.0,350.0
335,28.0,350.0,350.0
336,31.0,350.0,350.0
337,25.0,350.0,350.0
338,49.0,350.0,350.0
339,43.0,350.0,350.0
340,37.0,350.0,250.0
341,33.0,350.0,350.0
342,45.0,350.0,300.0
343,24.0,350.0,250.0
344,27.0,350.0,350.0
345,48.0,350.0,350.0
346,33.0,350.0,300.0
347,26.0,350.0,350.0
348,40.0,350.0,350.0
349,25.0,350.0,300.0
350,27.0,350.0,350.0
351,37.0,350.0,250.0
352,42.0,350.0,300.0
353,38.0,350.0,350.0
354,27.0,350.0,350.0
355,48.0,350.0,300.0
356,48.0,350.0,350.0
357,41.0,350.0,300.0
358,53.0,350.0,350.0
359,30.0,350.0,350.0
360,25.0,350.0,300.0
361,26.0,350.0,350.0
362,41.0,350.0,350.0
363,45.0,350.0,300.0
364,24.0,350.0,350.0
365,31.0,350.0,350.0
366,48.0,350.0,350.0
367,27.0,350.0,300.0
368,32.0,350.0,300.0
369,40.0,350.0,300.0
370,27.0,350.0,350.0
371,30.0,350.0,350.0
372,35.0,350.0,350.0
373,23.0,350.0,350.0
374,48.0,350.0,350.0
375,49.0,350.0,300.0
376,48.0,350.0,300.0
377,21.0,350.0,300.0
378,28.0,350.0,350.0
379,31.0,350.0,300.0
380,52.0,350.0,350.0
381,32.0,350.0,300.0
382,42.0,350.0,350.0
383,24.0,350.0,350.0
384,44.0,350.0,300.0
385,42.0,350.0,350.0
386,31.0,350.0,300.0
387,35.0,350.0,350.0
388,29.0,350.0,350.0
389,23.0,350.0,300.0
390,44.0,350.0,350.0
391,29.0,350.0,350.0
392,43.0,350.0,350.0
393,41.0,350.0,350.0
394,28.0,350.0,300.0
395,41.0,350.0,300.0
396,40.0,350.0,350.0
397,18.0,350.0,300.0
398,45.0,350.0,350.0
399,38.0,350.0,350.0
400,22.0,350.0,350.0
401,25.0,350.0,300.0
402,22.0,350.0,350.0
403,48.0,350.0,250.0
404,24.0,350.0,300.0
405,36.0,350.0,300.0
406,31.0,350.0,350.0
407,42.0,350.0,350.0
408,41.0,350.0,300.0
409,24.0,350.0,350.0
410,44.0,350.0,300.0
411,24.0,350.0,350.0
412,49.0,350.0,300.0
413,41.0,350.0,300.0
414,29.0,350.0,350.0
415,42.0,350.0,250.0
416,29.0,350.0,250.0
417,38.0,350.0,300.0
418,23.0,350.0,250.0
419,30.0,350.0,350.0
420,38.0,350.0,350.0
421,31.0,350.0,300.0
422,31.0,350.0,350.0
423,43.0,350.0,300.0
424,32.0,350.0,350.0
425,30.0,350.0,350.0
426,36.0,350.0,250.0
427,31.0,350.0,350.0
428,45.0,350.0,300.0
429,42.0,350.0,350.0
430,37.0,350.0,300.0
431,26.0,350.0,300.0
432,34.0,350.0,350.0
433,36.0,350.0,350.0
434,28.0,350.0,300.0
435,35.0,350.0,350.0
436,25.0,350.0,350.0
