,birthday,annualpay,gender,education_type,wanted_annualpay,sort,annualpay
105,28.0,300.0,0.0,2.0,350.0,1.0,300.0
106,40.0,650.0,0.0,2.0,700.0,1.0,800.0
107,31.0,250.0,0.0,6.0,650.0,1.0,500.0
108,42.0,200.0,1.0,2.0,200.0,1.0,200.0
109,28.0,350.0,0.0,6.0,300.0,1.0,200.0
110,43.0,700.0,0.0,6.0,650.0,1.0,700.0
111,45.0,650.0,0.0,6.0,650.0,1.0,600.0
112,36.0,400.0,0.0,2.0,450.0,1.0,400.0
113,22.0,250.0,0.0,2.0,300.0,1.0,200.0
114,41.0,450.0,0.0,6.0,450.0,1.0,400.0
115,26.0,500.0,0.0,4.0,400.0,1.0,300.0
116,30.0,200.0,0.0,6.0,400.0,1.0,350.0
117,36.0,300.0,0.0,4.0,350.0,1.0,300.0
118,26.0,300.0,1.0,6.0,300.0,1.0,250.0
119,33.0,300.0,0.0,2.0,550.0,1.0,400.0
120,26.0,200.0,1.0,6.0,250.0,1.0,200.0
121,36.0,550.0,1.0,3.0,550.0,1.0,500.0
122,41.0,200.0,1.0,2.0,300.0,1.0,200.0
123,36.0,350.0,0.0,4.0,400.0,1.0,400.0
124,39.0,250.0,0.0,2.0,350.0,1.0,300.0
125,28.0,250.0,0.0,3.0,350.0,1.0,300.0
126,25.0,200.0,1.0,3.0,300.0,1.0,250.0
127,23.0,200.0,1.0,6.0,250.0,1.0,200.0
128,35.0,250.0,1.0,6.0,250.0,1.0,200.0
129,30.0,400.0,1.0,6.0,400.0,1.0,350.0
130,27.0,250.0,1.0,4.0,300.0,1.0,250.0
131,32.0,500.0,0.0,4.0,450.0,1.0,400.0
132,39.0,200.0,1.0,2.0,300.0,1.0,200.0
133,37.0,300.0,0.0,6.0,450.0,1.0,400.0
134,48.0,200.0,1.0,2.0,200.0,1.0,200.0
135,24.0,300.0,0.0,4.0,300.0,1.0,250.0
136,36.0,300.0,1.0,6.0,400.0,1.0,400.0
137,33.0,550.0,0.0,1.0,600.0,1.0,550.0
138,50.0,350.0,0.0,2.0,400.0,1.0,300.0
139,39.0,450.0,0.0,6.0,450.0,1.0,400.0
140,33.0,300.0,0.0,4.0,400.0,1.0,400.0
141,40.0,350.0,1.0,3.0,450.0,1.0,400.0
142,30.0,700.0,0.0,2.0,550.0,1.0,400.0
143,26.0,300.0,1.0,6.0,300.0,1.0,250.0
144,46.0,250.0,1.0,3.0,300.0,1.0,200.0
145,46.0,1200.0,0.0,6.0,1500.0,1.0,900.0
146,50.0,200.0,1.0,3.0,200.0,1.0,200.0
147,48.0,450.0,0.0,4.0,450.0,1.0,400.0
148,46.0,400.0,1.0,3.0,400.0,1.0,400.0
149,25.0,250.0,1.0,4.0,350.0,1.0,250.0
150,30.0,400.0,0.0,6.0,550.0,1.0,400.0
151,35.0,350.0,0.0,6.0,400.0,1.0,350.0
152,46.0,200.0,1.0,7.0,300.0,1.0,250.0
153,39.0,200.0,1.0,5.0,350.0,1.0,200.0
154,30.0,250.0,0.0,2.0,300.0,1.0,200.0
